workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1,test1,dialect,test3,lived,language,enjoyment,gender,age,describe,comments,years,proficiency,asses,test2,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,banana,feminine,food,3,blue,plastic,color,1,material,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,apple,feminine,food,4,yellow,huge,color,1,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,banana,feminine,food,5,hard,plastic,texture,1,material,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,cheese,masculine,food,6,small,bad,size,0,quality,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,cheese,masculine,food,7,long,smooth,size,1,texture,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,fan,feminine,furniture,8,old,short,age,1,size,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,apple,feminine,food,9,smooth,blue,texture,0,color,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,apple,feminine,food,10,square,metal,shape,1,material,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,banana,feminine,food,11,short,wooden,size,1,material,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
0,banana,feminine,food,12,red,metal,color,0,material,correct,levantine,correct,before,"فرنسي ,انجليزي ,عربي ",2,Male,٥٦,arabic-english,,5+,basic,Yes,correct,3,Windows,1080,1920,Chrome,3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:27:38 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:27:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVS9LLR9G,345LHZDEDYO06I9KU9Y912BEOKGU3I,0,Approved,Fri Feb 15 04:32:01 PST 2019,Thu Feb 14 11:40:56 PST 2019,Thu Feb 14 11:52:01 PST 2019,Fri Feb 15 04:32:22 PST 2019,,,,,[],11.010733333333333
